,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
438,UR4,UR,4,Altdorf,1201,691800,192900,46.88088,8.643,9401,c_ä_übof,c_o,c_i,c_a_hell,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
439,UR5,UR,5,Unterschachen,1219,701500,191100,46.86328,8.76984,697,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz / c_lang,c_nk,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
440,UR6,UR,6,Erstfeld,1206,692500,186300,46.82142,8.65085,3788,c_ä_übof,c_o / c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
441,UR7,UR,7,Silenen,1216,694100,182900,46.79061,8.67111,1949,c_a_hell,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe,c_gaa,c_higg
442,UR8,UR,8,Gurtnellen,1209,691000,177100,46.73888,8.62936,540,c_a_hell,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_glüffe,c_gaa,c_higg
443,UR9,UR,9,Meien_Dorfli,1220,685300,175400,46.72434,8.55447,398,c_a_hell,c_o,c_i,c_a_hell,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe,c_gaa,c_higg
444,UR10,UR,10,Goscheneralp,1208,681200,166600,46.6457,8.49929,448,c_a_hell,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe,c_gaa,c_higg
445,UR11,UR,11,Hospental,1210,686500,163700,46.61895,8.56797,186,c_a_hell,c_o,c_i,c_ä_übof,c_ei,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe,c_goo,c_higg / c_hösch
446,UW1,UW,1,Hergiswil,1507,666400,204400,46.98734,8.31148,5777,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
447,UW2,UW,2,Stans_Oberdorf,1509,670600,201100,46.95722,8.36617,8393,c_ä_übof,c_u,c_i,c_a_hell,c_e_geschl / c_e_neutr,c_ei,c_üü,c_e,c_lang,c_nk,c_l,NA,c_gaa,c_higg
448,UW3,UW,3,Wolfenschiessen,1511,672900,195800,46.9093,8.39554,2097,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl / c_e_neutr,c_ei,c_ei,c_e,c_lang,c_nk,c_l,NA,c_gaa,c_higg
449,UW4,UW,4,Buochs,1502,674700,203000,46.97386,8.42034,5311,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl / c_e_neutr,c_ei,c_ei,c_e,c_lang,c_nk,c_l,NA,c_gaa,c_higg
450,UW5,UW,5,Emmetten,1504,682200,201200,46.95679,8.51857,1429,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl / c_e_neutr,c_ei,c_ei,c_e,c_lang,c_nk,c_l,NA,c_gaa,c_higg
451,UW6,UW,6,Alpnach,1401,663600,199200,46.94084,8.27395,6031,,c_o,c_i,c_ä_übof,,NA,c_üü,c_e,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
452,UW7,UW,7,Sarnen_Kagiswil,1407,661400,194200,46.89607,8.24438,10368,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
453,UW8,UW,8,Sachseln,1406,661000,191200,46.86913,8.23873,5146,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,NA,c_gaa,c_higg
454,UW9,UW,9,Giswil,1403,657100,187800,46.83889,8.18716,3658,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
455,UW10,UW,10,Lungern,1405,654900,181800,46.7851,8.1576,2120,c_ä_übof,c_o / c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,NA,c_gaa,c_higg
456,UW11,UW,11,Melchtal,1404,664800,187400,46.83459,8.28803,6337,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl / c_e_neutr,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
